Configuration,IsEqual,Precision,Recall,F-measure
00001,0,1.0,0.1111111119389534,0.19999998807907104
00002,0,1.0,0.10000000149011612,0.1818181872367859
00003,0,1.0,0.06666667014360428,0.125
00005,0,1.0,0.06666667014360428,0.125
00007,1,1.0,1.0,1.0
00008,0,0.9090909361839294,1.0,0.9523809552192688
00010,0,1.0,0.05263157933950424,0.09999999403953552
00011,0,0.8666666746139526,0.8666666746139526,0.8666666746139526
00013,0,0.9090909361839294,1.0,0.9523809552192688
00014,0,0.9333333373069763,0.9333333373069763,0.9333333373069763
00017,1,1.0,1.0,1.0
00018,1,1.0,1.0,1.0
00019,0,0.9090909361839294,1.0,0.9523809552192688
00020,0,0.9333333373069763,1.0,0.9655172228813171
